City,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income
Haifa,2.16,6.75,8.1,1.37,719.73,1196.51
Barcelona,1.32,6.82,4.26,1.24,937.73,1193.48
Valencia,1.28,6.82,4.26,1.24,596.74,1193.48
Manama,2.6,5.2,19.61,0.17,1078.72,1176.78
Johannesburg,1.16,3.46,3.53,0.84,705.63,1167.89
Jerusalem,2.52,6.84,6.3,1.43,810.35,1080.46
Nicosia,3.41,6.82,4.69,1.2,639.36,1065.6
Naples,1.02,6.39,4.26,1.53,1044.29,1022.98
Malaga,1.28,7.03,2.98,1.21,575.43,968.42
Pretoria,1.06,3.63,3.25,0.84,377.8,952.6
Taipei,1.75,6.01,8.14,0.77,784.52,942.66
Limassol,2.98,6.82,4.26,1.15,618.05,937.73
Moscow,3.1,7.24,7.03,0.62,2067.19,930.24
Alicante,1.28,6.01,4.03,1.19,511.49,852.48
Ljubljana,1.28,4.69,4.26,1.27,767.23,809.86
Curitiba,1.54,5.2,8.05,0.87,861.59,796.57
Lisbon,1.02,5.11,2.98,1.38,822.65,767.23
Istanbul,1.99,5.44,9.06,1.66,634.23,724.84
Prague,1.32,5.08,3.29,1.18,821.94,723.3
Kuala Lumpur,1.72,2.57,10.72,0.41,857.82,702.18
Athens,2.98,6.82,5.97,1.45,468.87,681.99
Bratislava,1.45,5.11,4.26,1.28,852.48,681.99
Porto,0.68,4.26,3.41,1.37,596.74,664.94
Warsaw,1.66,5.19,5.19,1.18,726.59,664.31
Buenos Aires,2.08,5.48,3.94,0.89,590.75,657.33
Rio De Janeiro,1.46,6.5,7.8,0.94,1300.51,650.26
Sao Paulo,1.3,6.5,8.13,0.88,1219.23,650.26
Saint Petersburg,2.07,6.2,6.2,0.62,1033.6,620.16
Santiago,1.64,5.34,4.11,1.09,547.6,616.05
Zagreb,1.12,3.7,4.48,1.23,504.36,605.23
Noida,0.97,3.02,6.34,0.78,301.69,603.39
Beijing,2.64,8.46,10.36,0.86,1586.25,600.13
Thessaloniki,2.98,6.82,5.11,1.45,468.87,596.74
Braga,1.02,4.48,2.13,1.39,383.62,596.74
Shanghai,2.96,8.46,8.46,0.85,1533.38,592.2
Izmir,1.81,4.71,7.25,1.69,543.63,590.57
Mexico City,1.6,3.2,7.47,0.56,747.1,587.01
Montevideo,2.13,6.06,5.23,1.24,653.77,585.12
Santo Domingo,0.8,3.27,5,1.01,437.44,556.74
Gaborone,1.19,2.58,3.53,0.71,395.15,529.22
Caracas,1.8,9.12,11.97,0.07,1634.42,527.89
Cordoba,1.95,3.92,4.25,0.93,524.8,523.02
Gurgaon,0.97,3.02,6.64,0.83,398.24,470.64
Vilnius,1.23,4.44,4.44,1.19,493.78,457.29
Bangkok,1.37,4.1,13.68,0.91,1139.76,455.91
Belo Horizonte,1.38,5.69,8.13,0.9,764.05,455.69
Amman,2.55,6.54,12.79,0.83,460.92,441.94
Bangalore,0.72,3.02,4.83,0.91,362.03,422.37
Lodz,1.45,4.77,4.15,1.18,337.35,415.2
Budapest,1,4.27,2.85,1.2,341.97,414.64
Tehran,1.96,2.62,26.15,0.37,980.65,392.26
Lima,1.65,3.79,6.27,1.03,784.52,392.26
Bucharest,1.37,4.89,2.94,1.17,508.98,383.17
Antalya,1.81,3.26,5.44,1.62,217.45,362.42
Pune,0.84,2.41,5.43,0.89,301.69,362.03
Delhi,0.84,2.41,7.24,0.84,362.03,362.03
Kiev,1.31,4.17,3.92,0.92,980.65,361.3
Belgrade,1.1,2.98,3.02,1.17,426.24,359.9
Sofia,0.87,3.93,3.06,1.11,349.35,353.72
Lagos,2.62,6.54,7.85,0.4,1193.13,350.79
Pattaya,1.14,3.19,10.03,0.87,784.52,341.93
Baku,2.53,5.48,7.59,0.51,1278.72,340.99
Mumbai,0.84,3.02,6.03,0.89,603.39,337.9
Jakarta,1.88,3.37,16.83,0.45,807.7,336.54
Ulaanbaatar,1.75,3.27,6.54,0.78,1307.54,326.88
Colombo,1.54,2.35,11.16,0.83,713.9,326.88
Bogota,1.25,4.27,7.48,0.8,426.95,326.88
Nairobi,1.36,3.92,7.21,0.94,632.15,323.49
Medellin,1.31,3.38,7.48,0.78,261.51,310.54
Vadodara,0.72,2.17,6.03,0.84,120.68,307.73
Porto Alegre,1.14,5.2,4.71,0.89,487.69,306.89
Ahmedabad,0.72,2.11,4.22,0.85,193.08,301.69
Hyderabad,0.72,1.81,4.83,0.91,241.35,301.69
Chennai,0.66,1.81,4.83,0.87,301.69,301.69
Dhaka,1.31,2.09,9.17,0.77,312.91,295.54
Minsk,1.31,2.12,4.25,0.56,491.12,294.2
Tirana,0.85,3.12,4.26,1.27,426.24,285.76
Varna,0.83,3.93,3.06,1.09,305.68,283.85
Kolkata,0.84,2.41,4.83,0.87,241.35,271.52
Kochi,0.6,1.81,3.62,0.84,181.02,271.52
Kharkiv,1,3.21,3.27,0.88,523.02,255.74
Casablanca,1.7,3.94,3.45,0.85,997.08,230.09
Chiang Mai,1.05,3.53,11.4,0.82,426.24,227.95
Manila,1.58,2.77,4.75,0.86,791.68,221.67
Cebu,1.43,2.85,3.48,0.88,475.01,200.28
Quito,1.22,2.94,6.54,0.29,310.54,196.13
Hanoi,1.31,2.66,8.17,0.81,718.36,172.25
Cairo,1.42,3.27,7.33,0.19,425.85,163.44
Davao,0.79,1.9,3.17,0.84,554.18,158.34
Karachi,1,3.27,5.11,0.67,197.78,139.6
Lahore,1.23,3.27,6.54,0.66,206.08,132.95
Addis Ababa,0.46,2.29,4.18,0.72,653.77,124.22
Indore,0.91,2.23,6.03,0.84,205.15,120.68
