"","Brand","Variety","Style","Country","Stars","Top.Ten","perc_salt"
"56","Sokensha","Curry Udon","Pack","Japan",3.5,"",19.9211459886464
"57","Nissin","Straits Reborn Laksa","Pack","Singapore",5,"",17.9485710379487
"58","Nongshim","Budae Jjigae Noodle Soup","Pack","South Korea",4.5,"",20.6726719092077
"59","Takamori","Hearty Japanese Style Curry Udon","Pack","Japan",5,"",17.4552026396331
"60","Nissin","Cup Noodles Potato Chips Black Pepper Crab Flavour","Pack","Singapore",4.5,"",18.5632190684006
"61","Nissin","Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab)","Cup","Singapore",5,"",19.3756886695163
"62","Guava Story","Anchovy Flavor Guava Rice Noodles","Tray","South Korea",1,"",11.6417335239225
"63","Samurai Ramen","Umami Ramen","Pack","Japan",4,"",19.8496497835337
"64","Ikeda Shoku","Nabeyaki Tempura Udoin","Bowl","Japan",4.5,"",22.1805188445808
"65","Fujiwara","Hokkaido Hakodate Miso Ramen","Pack","Japan",3.5,"",20.1782873690641
"66","Uni-President","Man Han Feast Spicy Beef Flavor Instant Noodles","Bowl","Taiwan",5,"",17.5703964562531
"67","Ogasawara","Kirin Giraffe Shoyu Ramen","Pack","Japan",4.5,"",20.5806312112091
"68","Pringles","Nissin Top Ramen Chicken Flavor Potato Crisps ","Can","USA",3.5,"",17.2968479925421
"69","Mom's Dry Noodle","Dan Dan Noodle","Pack","Taiwan",5,"",16.8766315894633
"70","Samyang Foods","Samyang Ramen Classic Edition","Bowl","South Korea",5,"",16.8738554648627
"71","MyKuali","Penang Red Tom Yum Goong Noodle","Pack","Malaysia",5,"",18.0047962007464
"72","Maggi","Hot Heads Green Chilli Noodles","Pack","India",3.5,"",19.7470484269978
"73","Samyang Foods","Mala Buldak Bokkeummyun","Pack","South Korea",3.75,"",18.382536239516
"74","Indomie","RMy Noodlez Rumput Laut","Pack","Indonesia",4,"",19.4959085350679
"75","KOKA","Delight Chicken Flavor Instant Non-Fried Noodles","Pack","Singapore",3.75,"",20.3037233356197
"76","Acecook","Super Cup Torigawa Shoyu","Bowl","Japan",3.5,"",19.4617514871649
"77","Nongshim","Shin Ramyun","Pack","South Korea",3,"",21.7231721947975
"78","Sichuan Guangyou","Sweet Potato Instant Noodle Sout-Hot Flavor","Bowl","China",0,"",7.29874863402057
"79","Indomie","Onion Chicken Flavor","Pack","Nigeria",1.5,"",15.8386309735249
"80","Happy Cook","Toona Paste Noodle","Pack","Taiwan",4,"",20.8853404736773
"81","The Ramen Rater Select","Supreme Creamy Tom Yum Noodle","Box","Malaysia",5,"",19.7476227121246
"82","KOKA","Creamy Soup With Crushed Noodles Chicken Flavor","Cup","Singapore",5,"",19.3139986112922
"83","Nissin","Demae Ramen Spicy Beef","Pack","Germany",3.75,"",21.7121553200428
"84","Nissin","Cup Noodles Spicy","Cup","Germany",3.75,"",19.2899254214301
"85","Nissin","Soba Thai","Pack","Germany",4.5,"",18.9537493375957
"86","Nissin","Cup Noodles Huhn (Chicken)","Cup","Germany",3.75,"",19.7984832670347
"87","Nissin","Demae Ramen Korean Kimchi","Pack","Germany",3.5,"",20.2545427199709
"88","Nissin","Cup Noodles Curry","Cup","Germany",3.75,"",18.7442392257918
"89","Nissin","Smack Chili","Pack","Hungary",3.75,"",22.4911361696188
"90","Nissin","Soba Yakitori Chicken","Cup","Germany",5,"",19.2842569436737
"91","Nissin","Demae Ramen Garlic Chicken","Pack","Germany",3.5,"",19.9129137017888
"92","Nissin","Cup Noodles Ente (Duck)","Cup","Germany",3,"",20.5112626346768
"93","Nissin","Demae Ramen Thai Tom Yum","Pack","Germany",3.75,"",20.3097567267062
"94","Nissin","Soba Sukiyaki Beef","Cup","Germany",4.5,"",19.8480508601694
"95","Nissin","Demae Ramen Spicy","Pack","Germany",3.5,"",20.1240238388363
"96","Nissin","Cup Noodles Shrimps","Cup","Germany",3,"",17.3789486482295
"97","Nissin","Demae Ramen Tokyo Soy Sauce","Pack","Germany",4,"",20.6524944042173
"98","Paldo","Bul Jjamppong","Bowl","South Korea",5,"",18.3544605569205
"99","TTL","Chicken With Chinese Shaoxing Wine","Pack","Taiwan",4.75,"",20.8955077983804
"100","Samyang Foods","Buldak Bokkeummyun","Cup","South Korea",3.75,"",20.4702057262363
"101","Acecook","Pork Wantan Men","Bowl","Japan",4.25,"",20.6023775736988
"102","E-Zee","Instant Noodles Chicken Flavour","Pack","Malaysia",4,"",18.8907353746869
"103","Kiki Noodle","Scallion Oil & Soy Sauce Noodle","Pack","Taiwan",5,"",17.6494638060725
"104","Kiki Noodle","Sichuan Spices Flavor Noodle","Pack","Taiwan",5,"",18.2897186141421
"105","Samyang Foods","Kimchi Stew Ramyun","Bowl","South Korea",4,"",20.7189150725121
"106","Maruchan","Seimen Red Spicy Dandan Men","Bowl","Japan",4.75,"",20.2649086552987
"107","Ottogi","Ppushu Ppushu Noodle Snack Chilli Cheese Flavor","Pack","South Korea",4.25,"",21.2182061563596
"108","Tokyo Noodle","Mini Instant Noodle Mild Curry Flavor","Pack","Japan",2,"",18.5243856770566
"109","GGE","Noodle Snack Wheat Cracks Seaweed Flavor","Pack","Taiwan",3.5,"",20.1547318571312
"110","Nissin","Cup Noodles Mini Seafood Flavour","Cup","Hong Kong",5,"",17.728693712451
"111","Myojo","Udon Japanese Style Noodles With Soup Base Hot & Sour Flavor","Pack","USA",3.75,"",20.7430636596246
"112","KOKA","Signature Curry Flavor Instant Noodles","Cup","Singapore",3.5,"",20.2070622659442
"113","Acecook","Dossari Yasai Chanpon","Cup","Japan",4.25,"",19.159773991557
"114","Paldo","Volcano Curry Kkokkomyun","Pack","South Korea",3.5,"",20.1385444042933
"115","Sau Tao","Instant Noodle King Pepper Duck Flavour Soup","Pack","Hong Kong",4,"",20.2109019698121
"116","Nissin","Cup Noodles XO Sauce Seafood","Cup","China",3.75,"",20.5214583960402
"117","Wang","Extreme Spicy Hot Chicken Flavor Udon","Bowl","South Korea",2,"",15.3797788003026
"118","Nissin","Gekikara Ramen Rasa Pedas","Pack","Indonesia",3.25,"",20.5296673754566
"119","TTL","Sesame Oil Chicken Noodle With Rice Wine","Bowl","Taiwan",5,"",18.8120441067176
"120","Fujiwara","Hokkaido Hakodate Shio Ramen","Pack","Japan",4.5,"",18.1416796527549
"121","Daifuku","Katsuo Bowl Udon","Bowl","USA",5,"",18.1697505520471
"122","Nissin","Cup Noodles MUG Shoyu & Seafood","Pack","Japan",3.5,"",19.3514659322694
"123","Samyang Foods","Sari Ramen","Pack","South Korea",NA,"",22
"124","KOKA","Instant Noodles Chicken Satay Flavour","Pack","Singapore",3.5,"",19.4756001317878
"125","KOKA","Signature Spicy Singapore Fried Noodles Instant Noodles","Pack","Singapore",4.25,"",18.6428221109575
"126","KOKA","Creamy Soup With Crushed Noodles Sweet Corn Flavor","Cup","Singapore",5,"",19.8792104136816
"127","KOKA","Silk Beef Pho Flavor Instant Rice Fettuccine","Bowl","Singapore",3.25,"",19.9219301826412
"128","KOKA","Delight Spicy Sesame Flavor Instant Non-Fried Noodles","Pack","Singapore",4.5,"",20.4089350420952
"129","KOKA","Signature Laksa Singapura Instant Noodles","Bowl","Singapore",5,"",18.2544067177897
"130","KOKA","Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles","Pack","Singapore",5,"",19.0125593009157
"131","KOKA","Purple Wheat Noodles Chili & Lime Flavor","Pack","Singapore",4,"",19.9662614496616
"132","KOKA","Delight Tomato Flavor Instant Non-Fried Noodles","Pack","Singapore",5,"",18.4436739772589
"133","KOKA","Seafood Flavor Instant Noodles","Cup","Singapore",3.5,"",18.6439758384387
"134","KOKA","Signature Stir-Fry Original Flavor Instant Noodles","Pack","Singapore",3,"",19.8935155272624
"135","KOKA","Creamy Soup Witrh Crushed Noodles Curry Flavor","Cup","Singapore",5,"",18.1838357458732
"136","KOKA","Delight Laksa Singapura Flavor Instant Non-Fried Noodles","Pack","Singapore",4.25,"",20.4107086587606
"137","KOKA","Silk Spicy Marinara Instant Rice Fettuccine","Bowl","Singapore",5,"",19.0684670188448
"138","KOKA","Signature Chicken Flavor Instant Noodles","Cup","Singapore",3.75,"",19.3578768000281
"139","Nissin","Cup Noodles Sopa Nissin Hot Sauce Con Camaron","Cup","Mexico",3.5,"",20.3935254223141
"140","MyKuali","Penang Hokkien Prawn Flavor Noodle","Box","Japan",5,"",19.1821413190299
"141","Master Kong","Roasted Pork Noodle","Pack","China",4.5,"",19.0401753508479
"142","Uni-President","Man Han Feast Super Hot Pot Beef Flavor Instant Noodles","Bowl","Taiwan",5,"",16.8410147246614
"143","World O' Noodle","Mi Goreng Original Flavour Fried Noodles","Pack","Indonesia",5,"",19.0527675408011
"144","Nissin","Raoh Nojyuku Toro Tonkotsu Ramen","Bowl","Japan",4.5,"",18.8847723010962
"145","Kang Shi Fu","Artificial Dongpo's Braised Pork Flavour","Pack","Hong Kong",4.75,"",18.465912012029
"146","Mum Ngon","Lau Tom Chua Cay","Pack","Vietnam",3.5,"",17.9298659529286
"147","Happy Cook","Old Beijing Fried Bean Sauce Noodle","Pack","Taiwan",4.25,"",19.9395970784785
"148","Nissin","Cup Noodles Indonesia Mie Goreng","Cup","Japan",3.75,"",20.8241165899486
"149","Fashion Food","Yummy Spicy Rice Soup With Seafood","Bowl","Thailand",3.5,"",19.5423339241016
"150","Dream Kitchen","Udon Japanese Style Fresh Noodle","Bowl","USA",3.75,"",21.2236905706596
"151","MyKuali","MeeKuali Bihun Sup Rempah Perisa Daging","Pack","Malaysia",5,"",18.8347701261792
"152","New Touch","T's Restaurant Sura Tanmen","Cup","Japan",4,"",19.6256547517766
"153","TTL","Sesame Oil Chicken With Rice Wine Noodle","Bowl","Taiwan",5,"",17.0093652471712
"154","Ajinatori","HALAL Chicken Shoyu Sauce Ramen","Pack","Japan",2.5,"",19.1289381004299
"155","Dr. McDougall's","Vegan Pad Thai Noodle Soup","Cup","USA",0,"",7.11401267228911
"156","Nissin","Seafood Flavour Rice Vermicelli","Cup","Hong Kong",5,"",18.0103975081897
"157","Samyang Foods","Cheese Type Buldak Bokkeummyun (Black Pkg)","Pack","South Korea",3.75,"",19.1422245127768
"158","Ve Wong","Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor","Pack","Taiwan",3.5,"",21.5258254327895
"159","Nissin","Cup Noodles Sopa Nissin Con Camaron Picante","Cup","Mexico",3.25,"",19.276466990085
"160","Uni-President","Baseball Snack Noodle","Pack","Taiwan",5,"",18.7140314308008
"161","Nissin","Cup Noodles Spicy Seafood Flavor","Cup","China",3.75,"",21.3003211980553
"162","MyKuali","Penang Red Tom Yum Goong","Box","Japan",5,"",18.155665164088
"163","Myojo","Yomise No Yakisoba Karashi Mentaiko Flavor","Tray","Japan",4.5,"",20.2343793684272
"164","Super Bihun","Bihun Kuah Rasa Baso Sapi","Pack","Indonesia",3.75,"",19.8878411531141
"165","Xiuhe","Hot & Sour Beef Noodles","Bowl","China",4.25,"",18.6496478786315
"166","Nissin","Kitsune Udon Donbei (West)","Bowl","Japan",5,"",17.6696019600755
"167","Little Cook","Thailand Green Curry Instant Noodle","Bowl","Taiwan",5,"",18.8326660805337
"168","Nissin","Cup Noodles Beef Flavour","Cup","Hong Kong",2.5,"",17.5641272081573
"169","Shirakiku","Sanukiya Udon Shrimp Flavor","Pack","USA",3.25,"",19.6899548215659
"170","Mama Pat's","Chicken Fajita Flavor Instant Ramen Noodles","Pack","USA",3.75,"",18.8369662473871
"171","Mama Pat's","Lamb Stew Flavor Instant Ramen Noodles","Pack","USA",3.75,"",20.935727475057
"172","Mama Pat's","Seafood Gumbo Flavor Instant Ramen Noodles","Pack","USA",3.5,"",21.044005850127
"173","Mama Pat's","Chicken Taco Flavor Instant Ramen Noodles","Pack","USA",3.75,"",18.2585646979175
"174","Just Way","Chuan Wei Spicy Guan-miao Noodles","Pack","Taiwan",4.5,"",20.0448193903907
"175","Sichuan Guangyou","Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor","Pack","China",0.25,"",8.35114137710364
"176","Nissin","Cup Noodles Mini Spicy Seafood","Cup","Hong Kong",4,"",21.6951141388187
"177","MyKuali","Penang Hokkien Prawn Noodle Soup","Pack","Singapore",5,"",16.5492071284466
"178","Goku-Uma","Yakisoba Japanese Style Noodle","Bowl","USA",4.75,"",18.0679556754727
"179","Maggi","Nutri-licious Pazzta Tomato Twist","Pack","India",3.75,"",20.9401840444257
"180","Sichuan Baijia","Chongqing Noodles Burning Dry Noodles","Bowl","China",5,"",16.5373504755759
"181","Nissin","Cup Noodles Tom Yam Seafood Flavour","Cup","Singapore",5,"",17.9806204280114
"182","Indomie","My Noodles Mi Goreng Pizza Cheese","Pack","Indonesia",4,"",18.3105999232607
"183","Liang Cheng Mai","Shaanxi Cold Noodle: Mustard Spicy","Tray","China",1,"",11.9970640332874
"184","Samyang Foods","Cheese Buldak Bokkeummyun (Black)","Bowl","South Korea",4,"",19.3086009698827
"185","Maggi","2 Minute Noodles Chicken Flavour","Pack","Fiji",3.25,"",19.3748742003918
"186","Master Kong","Chicken Flavor Instant Noolde","Pack","China",4.25,"",19.6873658095597
"187","Nissin","Cup Noodles Prawn Flavour","Cup","Hong Kong",3.75,"",21.3191865630004
"188","Ripe'n'Dry","Hokkaido Miso Ramen","Pack","Japan",3,"",19.3664287899229
"189","MyKuali","Penang Red Tom Yum Goong Rice Vermicelli Soup","Bowl","Malaysia",5,"",18.8088186204969
"190","Ottogi","Jin Jjambbong Spicy Seafood Ramyun","Pack","South Korea",5,"",18.7856874463539
"191","Nissin","Rice Vermicelli Pickled Vegetable Pork Flavour","Cup","Hong Kong",3.75,"",21.3369279653744
"192","Gefen","Imitation Chicken Flavor","Cup","USA",4,"",20.0308413935977
"193","Hua Feng","Three Fresh Delicacies Instant Noodle","Pack","China",4.25,"",20.659670945356
"194","Nissin","Demae Iccho Sesame Oil Flavour Instant Noodle","Bowl","Hong Kong",3.5,"",21.7467743534869
"195","Maggi","2 Minute Noodles Curry Flavour","Pack","Fiji",4,"",19.7657195632915
"196","Uni-President","Man Han Feast Chilli Beef Flavor Instant Noodles","Bowl","Taiwan",4.75,"",18.4397009678167
"197","Sichuan Guangyou","9999 Chongqing Artificial Beef Flavor Instant Noodle","Pack","China",4.25,"",19.1323175863243
"198","Nissin","Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe)","Cup","USA",3.5,"",20.4093839032819
"199","Nongshim","Seaweed Instant Noodle","Cup","South Korea",0.5,"",10.3800922084582
"200","Nissin","Demae Iccho Seafood Flavour Instant Noodle","Cup","Hong Kong",4.75,"",19.1492283904792
"201","Pulmuone","Non-Fried Ramyun With Spicy Beef Broth","Pack","South Korea",3.75,"",20.0621608918004
"202","Nissin","Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe)","Cup","USA",2.5,"",18.2859803416877
"203","Sau Tao","Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured","Pack","Hong Kong",4.5,"",18.8089438895043
"204","MyKuali","Penang White Curry Instant Noodle (Japan Version)","Box","Malaysia",5,"",17.2907830991205
"205","Nissin","Disney Cuties Instant Chicken With Corn Flavour","Cup","Thailand",3.25,"",18.479430634505
"206","Uni-President","Man Han Feast Braised Pork Flavor Instant Noodles","Bowl","Taiwan",5,"",19.4381981037822
"207","World O' Noodle","Mi Goreng Garlic Flavour Fried Noodles","Pack","Indonesia",4.5,"",19.9219380296365
"208","Nissin","Top Ramen Atta Nooldes Masala","Pack","India",4.5,"",19.3726939648105
"209","Liu Quan","Instant Spicy Rice Noodle","Bowl","China",4,"",19.2049369570487
"210","Daikoku","Tanuki Soba","Cup","Japan",3.5,"",17.9420289415945
"211","Samyang Foods","Zzaldduck Buldak Bokkeummyun Snack","Pack","South Korea",4.5,"",20.061249236535
"212","Samyang Foods","Curry Buldak Bokkeummyun","Pack","South Korea",4.25,"",19.3881980958108
"213","Samyang Foods","Cool/Ice Buldak Bokkeummyun","Pack","South Korea",3.75,"",18.926429810979
"214","Samyang Foods","2x Spicy Haek Buldak Bokkeummyun","Pack","South Korea",4,"",21.0603345289937
"215","Samyang Foods","Buldak Bokkeummyun Snack","Pack","South Korea",5,"",16.729180784236
"216","Samyang Foods","Stew Buldak Bokkeumtangmyun","Pack","South Korea",5,"",18.5258967476203
"217","Samyang Foods","Cheese Buldak Bokkeummyun","Pack","South Korea",4,"",20.6411024409304
"218","Samyang Foods","Buldak Bokkeummyun (New Packaging)","Pack","South Korea",4,"",20.0583441134097
"219","Chuan Wei Wang","Bowl Instant Noodles Artificial Spicy Beef Flavor","Bowl","China",4,"",22.6369062546185
"220","Nissin","Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle)","Bowl","Hong Kong",5,"",17.5988760944013
"221","Wai Wai","Instant Noodles Artificial Chicken Flavoured","Pack","India",2,"",16.0746107093303
"222","Daikoku","Kitsune Udon","Cup","Japan",2,"",17.7083430730229
"223","Sichuan Baijia","Pickled Cabbage Flavor Instant Vermicelli","Bowl","China",4,"",21.1744388929198
"224","Kamfen","Noodle King Artificial Wonton Soup Flavored","Bowl","Hong Kong",5,"",19.5315216119645
"225","Nongshim","Spicy Shrimp Cup Noodle","Cup","South Korea",4,"",19.7257766744833
"226","Marutai","Nagasaki Agodashi Shoyu Ramen","Pack","Japan",4,"",19.4248131207421
"227","Vifon","Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli","Bowl","Vietnam",5,"",20.1841100975632
"228","Nissin","Cup Noodles Rich Garlic, Egg Yolk & Oxtail","Cup","Japan",4,"",20.2925018451366
"229","Uni-President","Minced Pork Flavor Instant Noodles","Pack","Taiwan",1,"",12.329356752501
"230","1 To 3 Noodles","Chatpat Masala","Pack","India",4,"",20.3347702079337
"231","Nissin","Cup Noodles BIG XO Sauce Seafood Flavour","Cup","Hong Kong",4,"",20.9148203770223
"232","Fantastic","Noodles Chicken & Corn Flavour","Cup","Australia",3,"",19.4543762160892
"233","Ripe'n'Dry","Hokkaido Salt Ramen","Pack","Japan",3,"",17.5932240788943
"234","Nissin","Demae Iccho Tonkotsu Flavour Instant Noodle (Bowl Noodle)","Bowl","Hong Kong",3,"",18.9397894345155
"235","Knorr","Chatt Patta Instant Noodles","Pack","Pakistan",1,"",12.875481007229
"236","Sempio","Clam Flavor Soup Kal-guksu","Pack","South Korea",5,"",17.1579956511344
"237","Nissin","Cup Noodles Sopa Nissin Sabor A Pollo","Cup","Mexico",4,"",19.6121535419144
"238","Nissin","Maxi Sopa Nissin Cuchareable Sabor A Jugo De Carne","Cup","Mexico",4,"",20.6364927745929
"239","Nissin","Sopa Nissin Sabor A Camaron Sopa Instantanea Tipo Ramen","Pack","Mexico",4,"",21.5843209103157
"240","Nissin","Cup Noodles Sopa Nissin Sabor A Carne De Res","Cup","Mexico",4,"",19.2473325755816
"241","Nissin","RapiFideo Sabor A Tomate Y Pollo","Cup","Mexico",4,"",20.1785380921548
"242","Nissin","Cup Noodles Sopa Nissin Sabor Camaron, Habanero Y Limon","Cup","Mexico",3,"",18.7905965869467
"243","Nissin","Sopa Nissin Sabor A Pollo Sopa Instantanea Tipo Ramen","Pack","Mexico",4,"",20.7817183180531
"244","Nissin","Cup Noodles Sopa Nissin Con Camaron","Cup","Mexico",3,"",19.1749602911542
"245","Nissin","Maxi Sopa Nissin Cuchareable Sabor A Camaron Picante","Cup","Mexico",3,"",20.0882715418439
"246","Nissin","Cup Noodles Gourmet Sabor A Caldo De Camaron","Cup","Mexico",5,"",18.4399548911971
"247","Nissin","Sopa Nissin Sabor Mariscos, Habanero Y Limon","Cup","Mexico",4,"",21.1180426849446
"248","Nissin","Maxi Sopa Nissin Cuchareable Sabor A Pollo","Cup","Mexico",4,"",19.2115088195289
"249","Nissin","Sopa Nissin Sabor A Res Instantanea Tipo Ramen","Pack","Mexico",4,"",21.7917745685006
"250","Nissin","Cup Noodles Sopa Nissin Hot Sauce Sabor A Pollo","Cup","Mexico",4,"",18.6114481798511
"251","Ve Wong","Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor","Pack","Taiwan",4,"",19.4116927237379
"252","Patanjali","Atta Noodles Jhatpat Banao Befikr Khao","Pack","India",5,"",18.7602314807652
"253","Qin Zong","Shaanxi Cold Noot Hot & Sour Flavor","Pack","China",3,"",19.4712791592686
"254","Nissin","Cup Noodles Spicy Lime Flavor Ramen Noodle Soup (New Recipe)","Cup","USA",4,"",20.6107429049578
"255","Nissin","Demae Iccho Tokyo Shoru Tonkotsu Instant Noodle","Cup","Hong Kong",4,"",20.7429327425846
"256","Pran","Mr. Noodles Curry Flavor Instant Noodles","Pack","Bangladesh",4,"",20.8711278248274
"257","Paldo","Bul Jjajangmyeon","Pack","South Korea",5,"",18.2144470158526
"258","Ogasawara","Kirin Giraffe Shio Ramen","Pack","Japan",5,"",19.5850409138103
"259","Sapporo Ichiban","Mie Kamayama Ramen Gyukotsu Misoaji","Bowl","Japan",3,"",22.1725386879112
"260","Sau Tao","Black Pepper XO Sauce Flavour","Bowl","Hong Kong",5,"",18.6901914751757
"261","Nissin","Nupasta Bolognese Flavour Instant Noodle","Cup","Japan",4,"",19.5673417941728
"262","Nongshim","Saeutang Sabalmyeon","Bowl","South Korea",3.5,"",18.77262632291
"263","Happy Cook","Sichuan Spicy Flavor","Pack","Taiwan",5,"",18.5837061883732
"264","MAMA","Instant Bowl Noodles Shrimp (Tom Yum) Flavor Base","Bowl","Thailand",4,"",20.1554989007092
"265","Nissin","Cup Noodle Spicy Curry Chicken","Cup","Japan",5,"",17.4056514599114
"266","Goku-Uma","Ramen Noodles Miso Flavor","Bowl","USA",3,"",21.7619729807096
"267","Nissin","Cup Noodles Spicy Beef Flavour","Cup","Hong Kong",4,"",19.636524953336
"268","Xiao Ban Mian","Sesame Oil With Garlic Flavor Thin Noodle","Pack","Taiwan",3.5,"",20.8132225916171
"269","Xiao Ban Mian","Traditional Shallot & Onion Oil Noodle","Pack","Taiwan",5,"",17.7921807937339
"270","Xiao Ban Mian","Sesame Sauce Matcha Noodle","Pack","Taiwan",3.8,"",20.4684170423311
"271","Pran","Mr. Noodles Instant Noodles Beef Flavour","Pack","Bangladesh",4,"",21.3050038744264
